,res1,res2,cont1,cont2,s:e,position1,position2,sorted,result,s1,s2,season,episode,prediction,pt_preds,binary_pred,pred_correct,r1,r2
886,3.0,1.0,Roxxxy Andrews,Lineysha Sparx,5:2.0,SAFE,WIN,"[['Lineysha Sparx', 'Roxxxy Andrews'], '5:2.0']",0,0,1,5.0,2.0,0.7164402584133462,0.9999999970283446,1,0,"trueskill.Rating(mu=40.074, sigma=4.149)","trueskill.Rating(mu=36.664, sigma=3.354)"
906,3.0,1.0,Alaska,Lineysha Sparx,5:2.0,SAFE,WIN,"[['Alaska', 'Lineysha Sparx'], '5:2.0']",0,0,1,5.0,2.0,0.25339872096873634,0.9999999994709126,0,1,"trueskill.Rating(mu=34.528, sigma=4.022)","trueskill.Rating(mu=38.303, sigma=3.128)"
907,3.0,1.0,Jinkx Monsoon,Lineysha Sparx,5:2.0,SAFE,WIN,"[['Jinkx Monsoon', 'Lineysha Sparx'], '5:2.0']",0,0,1,5.0,2.0,0.0034045192253440433,0.9999999999997861,0,1,"trueskill.Rating(mu=22.861, sigma=4.449)","trueskill.Rating(mu=39.016, sigma=2.989)"
1729,5.0,2.0,Monica Beverly Hillz,Honey Mahogany,5:2.0,BTM2,HIGH,"[['Honey Mahogany', 'Monica Beverly Hillz'], '5:2.0']",0,0,1,5.0,2.0,0.5887135858050792,0.0006588148800913164,1,0,"trueskill.Rating(mu=22.199, sigma=4.213)","trueskill.Rating(mu=20.737, sigma=4.034)"
1731,5.0,2.0,Monica Beverly Hillz,Vivienne Pinay,5:2.0,BTM2,HIGH,"[['Monica Beverly Hillz', 'Vivienne Pinay'], '5:2.0']",0,0,1,5.0,2.0,0.4247277636772362,0.0031499659453076475,0,1,"trueskill.Rating(mu=20.113, sigma=3.819)","trueskill.Rating(mu=21.301, sigma=4.094)"
1733,6.0,2.0,Serena ChaCha,Ivy Winters,5:2.0,ELIM,HIGH,"[['Ivy Winters', 'Serena ChaCha'], '5:2.0']",0,0,1,5.0,2.0,3.466016309664227e-05,7.977994582707925e-15,0,1,"trueskill.Rating(mu=10.924, sigma=3.088)","trueskill.Rating(mu=32.494, sigma=3.745)"
1734,6.0,2.0,Serena ChaCha,Honey Mahogany,5:2.0,ELIM,HIGH,"[['Honey Mahogany', 'Serena ChaCha'], '5:2.0']",0,0,1,5.0,2.0,0.014435126414131498,5.802537385536195e-06,0,1,"trueskill.Rating(mu=10.912, sigma=3.082)","trueskill.Rating(mu=22.650, sigma=3.690)"
1735,6.0,2.0,Serena ChaCha,Vivienne Pinay,5:2.0,ELIM,HIGH,"[['Serena ChaCha', 'Vivienne Pinay'], '5:2.0']",0,0,1,5.0,2.0,0.0119909748809396,3.80508767911235e-05,0,1,"trueskill.Rating(mu=10.722, sigma=3.021)","trueskill.Rating(mu=22.875, sigma=3.756)"
1736,7.0,2.0,Penny Tration,Ivy Winters,5:2.0,,HIGH,"[['Ivy Winters', 'Penny Tration'], '5:2.0']",0,0,1,5.0,2.0,2.7880348803694988e-06,4.59621751543579e-16,0,1,"trueskill.Rating(mu=7.937, sigma=3.086)","trueskill.Rating(mu=32.512, sigma=3.734)"
1737,7.0,2.0,Penny Tration,Honey Mahogany,5:2.0,,HIGH,"[['Honey Mahogany', 'Penny Tration'], '5:2.0']",0,0,1,5.0,2.0,0.0022818090308152094,2.8153608355007166e-07,0,1,"trueskill.Rating(mu=7.933, sigma=3.085)","trueskill.Rating(mu=22.921, sigma=3.585)"
1738,7.0,2.0,Penny Tration,Vivienne Pinay,5:2.0,,HIGH,"[['Penny Tration', 'Vivienne Pinay'], '5:2.0']",0,0,1,5.0,2.0,0.002013917053729844,2.0607214394303905e-06,0,1,"trueskill.Rating(mu=7.846, sigma=3.051)","trueskill.Rating(mu=23.133, sigma=3.652)"
1740,5.0,2.0,Monica Beverly Hillz,Ivy Winters,5:2.0,BTM2,HIGH,"[['Ivy Winters', 'Monica Beverly Hillz'], '5:2.0']",0,0,1,5.0,2.0,0.008342101499783669,1.4557477181400218e-12,0,1,"trueskill.Rating(mu=18.743, sigma=3.547)","trueskill.Rating(mu=32.518, sigma=3.730)"
1755,3.0,2.0,Detox,Ivy Winters,5:2.0,SAFE,HIGH,"[['Detox', 'Ivy Winters'], '5:2.0']",0,0,1,5.0,2.0,0.047297472663541604,0.7950873122077059,0,1,"trueskill.Rating(mu=22.135, sigma=4.323)","trueskill.Rating(mu=32.704, sigma=3.652)"
1756,3.0,2.0,Detox,Honey Mahogany,5:2.0,SAFE,HIGH,"[['Detox', 'Honey Mahogany'], '5:2.0']",0,0,1,5.0,2.0,0.40855527471926917,0.9999999594365866,0,1,"trueskill.Rating(mu=21.635, sigma=4.131)","trueskill.Rating(mu=23.040, sigma=3.530)"
1757,3.0,2.0,Detox,Vivienne Pinay,5:2.0,SAFE,HIGH,"[['Detox', 'Vivienne Pinay'], '5:2.0']",0,0,1,5.0,2.0,0.2915801751994071,0.9999999977432179,0,1,"trueskill.Rating(mu=20.047, sigma=3.777)","trueskill.Rating(mu=23.247, sigma=3.597)"
1758,3.0,2.0,Coco Montrese,Ivy Winters,5:2.0,SAFE,HIGH,"[['Coco Montrese', 'Ivy Winters'], '5:2.0']",0,0,1,5.0,2.0,0.03239812532220544,0.29238442431108513,0,1,"trueskill.Rating(mu=21.558, sigma=4.311)","trueskill.Rating(mu=33.061, sigma=3.538)"
1760,3.0,2.0,Coco Montrese,Honey Mahogany,5:2.0,SAFE,HIGH,"[['Coco Montrese', 'Honey Mahogany'], '5:2.0']",0,0,1,5.0,2.0,0.30267141741909104,0.9999823423056049,0,1,"trueskill.Rating(mu=21.140, sigma=4.141)","trueskill.Rating(mu=24.200, sigma=3.313)"
1761,3.0,2.0,Coco Montrese,Vivienne Pinay,5:2.0,SAFE,HIGH,"[['Coco Montrese', 'Vivienne Pinay'], '5:2.0']",0,0,1,5.0,2.0,0.2168063895508728,0.9999984190850622,0,1,"trueskill.Rating(mu=19.795, sigma=3.807)","trueskill.Rating(mu=24.251, sigma=3.380)"
1762,3.0,2.0,Alyssa Edwards,Ivy Winters,5:2.0,SAFE,HIGH,"[['Alyssa Edwards', 'Ivy Winters'], '5:2.0']",0,0,1,5.0,2.0,0.03740415705788706,0.16958045483993855,0,1,"trueskill.Rating(mu=22.283, sigma=4.364)","trueskill.Rating(mu=33.342, sigma=3.445)"
1764,3.0,2.0,Alyssa Edwards,Honey Mahogany,5:2.0,SAFE,HIGH,"[['Alyssa Edwards', 'Honey Mahogany'], '5:2.0']",0,0,1,5.0,2.0,0.2892451486464219,0.99989565176024,0,1,"trueskill.Rating(mu=21.819, sigma=4.177)","trueskill.Rating(mu=25.061, sigma=3.145)"
1765,3.0,2.0,Alyssa Edwards,Vivienne Pinay,5:2.0,SAFE,HIGH,"[['Alyssa Edwards', 'Vivienne Pinay'], '5:2.0']",0,0,1,5.0,2.0,0.20811647777380046,0.9999885569432156,0,1,"trueskill.Rating(mu=20.474, sigma=3.833)","trueskill.Rating(mu=25.016, sigma=3.211)"
1769,3.0,2.0,Jade Jolie,Ivy Winters,5:2.0,SAFE,HIGH,"[['Ivy Winters', 'Jade Jolie'], '5:2.0']",0,0,1,5.0,2.0,1.293340793899218e-05,9.721130742216532e-05,0,1,"trueskill.Rating(mu=12.230, sigma=3.075)","trueskill.Rating(mu=33.631, sigma=3.354)"
1770,3.0,2.0,Jade Jolie,Honey Mahogany,5:2.0,SAFE,HIGH,"[['Honey Mahogany', 'Jade Jolie'], '5:2.0']",0,0,1,5.0,2.0,0.0023005140773820344,0.8275908902185043,0,1,"trueskill.Rating(mu=12.220, sigma=3.070)","trueskill.Rating(mu=25.824, sigma=3.002)"
1771,3.0,2.0,Jade Jolie,Vivienne Pinay,5:2.0,SAFE,HIGH,"[['Jade Jolie', 'Vivienne Pinay'], '5:2.0']",0,0,1,5.0,2.0,0.0023834268253074007,0.9326671744502387,0,1,"trueskill.Rating(mu=12.106, sigma=3.027)","trueskill.Rating(mu=25.701, sigma=3.066)"
1775,3.0,2.0,Roxxxy Andrews,Vivienne Pinay,5:2.0,SAFE,HIGH,"[['Roxxxy Andrews', 'Vivienne Pinay'], '5:2.0']",0,0,1,5.0,2.0,0.9860487907420287,0.9999999999999746,1,0,"trueskill.Rating(mu=37.568, sigma=3.711)","trueskill.Rating(mu=25.815, sigma=3.022)"
1833,3.0,2.0,Roxxxy Andrews,Honey Mahogany,5:2.0,SAFE,HIGH,"[['Honey Mahogany', 'Roxxxy Andrews'], '5:2.0']",0,0,1,5.0,2.0,0.9441002539213147,0.9999999999992005,1,0,"trueskill.Rating(mu=33.823, sigma=3.308)","trueskill.Rating(mu=25.932, sigma=2.962)"
1890,3.0,2.0,Roxxxy Andrews,Ivy Winters,5:2.0,SAFE,HIGH,"[['Ivy Winters', 'Roxxxy Andrews'], '5:2.0']",0,0,1,5.0,2.0,0.32497918832423645,0.9970175210081922,0,1,"trueskill.Rating(mu=31.356, sigma=3.024)","trueskill.Rating(mu=33.644, sigma=3.347)"
1913,3.0,2.0,Jinkx Monsoon,Ivy Winters,5:2.0,SAFE,HIGH,"[['Ivy Winters', 'Jinkx Monsoon'], '5:2.0']",0,0,1,5.0,2.0,0.023073872384826985,0.9999947318445718,0,1,"trueskill.Rating(mu=22.704, sigma=4.362)","trueskill.Rating(mu=34.656, sigma=3.141)"
1914,3.0,2.0,Jinkx Monsoon,Honey Mahogany,5:2.0,SAFE,HIGH,"[['Honey Mahogany', 'Jinkx Monsoon'], '5:2.0']",0,0,1,5.0,2.0,0.15862025510070513,1.0,0,1,"trueskill.Rating(mu=22.319, sigma=4.194)","trueskill.Rating(mu=27.910, sigma=2.760)"
1915,3.0,2.0,Jinkx Monsoon,Vivienne Pinay,5:2.0,SAFE,HIGH,"[['Jinkx Monsoon', 'Vivienne Pinay'], '5:2.0']",0,0,1,5.0,2.0,0.09554233858955703,1.0,0,1,"trueskill.Rating(mu=21.304, sigma=3.889)","trueskill.Rating(mu=28.299, sigma=2.809)"
1916,3.0,2.0,Alaska,Ivy Winters,5:2.0,SAFE,HIGH,"[['Alaska', 'Ivy Winters'], '5:2.0']",0,0,1,5.0,2.0,0.389967308747391,0.9989426030710891,0,1,"trueskill.Rating(mu=33.349, sigma=3.720)","trueskill.Rating(mu=34.856, sigma=3.080)"
1917,3.0,2.0,Alaska,Honey Mahogany,5:2.0,SAFE,HIGH,"[['Alaska', 'Honey Mahogany'], '5:2.0']",0,0,1,5.0,2.0,0.7743829083923771,0.999999999999884,1,0,"trueskill.Rating(mu=32.013, sigma=3.438)","trueskill.Rating(mu=28.350, sigma=2.676)"
1918,3.0,2.0,Alaska,Vivienne Pinay,5:2.0,SAFE,HIGH,"[['Alaska', 'Vivienne Pinay'], '5:2.0']",0,0,1,5.0,2.0,0.616744679399207,0.9999999999999966,1,0,"trueskill.Rating(mu=30.052, sigma=3.143)","trueskill.Rating(mu=28.671, sigma=2.728)"
6002,7.0,3.0,Penny Tration,Jinkx Monsoon,5:2.0,,SAFE,"[['Jinkx Monsoon', 'Penny Tration'], '5:2.0']",0,0,1,5.0,2.0,0.007829784509546037,1.0840616711237586e-25,0,1,"trueskill.Rating(mu=7.766, sigma=3.020)","trueskill.Rating(mu=20.592, sigma=3.668)"
6003,7.0,3.0,Penny Tration,Alaska,5:2.0,,SAFE,"[['Alaska', 'Penny Tration'], '5:2.0']",0,0,1,5.0,2.0,3.1551898790757083e-06,1.2115452217003796e-22,0,1,"trueskill.Rating(mu=7.624, sigma=2.972)","trueskill.Rating(mu=28.690, sigma=2.929)"
6004,7.0,3.0,Penny Tration,Roxxxy Andrews,5:2.0,,SAFE,"[['Penny Tration', 'Roxxxy Andrews'], '5:2.0']",0,0,1,5.0,2.0,3.481102728736906e-07,6.097142930919421e-22,0,1,"trueskill.Rating(mu=7.614, sigma=2.967)","trueskill.Rating(mu=30.530, sigma=2.873)"
6005,7.0,3.0,Penny Tration,Detox,5:2.0,,SAFE,"[['Detox', 'Penny Tration'], '5:2.0']",0,0,1,5.0,2.0,0.013849088133748298,8.992441685560918e-18,0,1,"trueskill.Rating(mu=7.610, sigma=2.966)","trueskill.Rating(mu=18.940, sigma=3.525)"
6006,7.0,3.0,Penny Tration,Coco Montrese,5:2.0,,SAFE,"[['Coco Montrese', 'Penny Tration'], '5:2.0']",0,0,1,5.0,2.0,0.013225366814507965,4.55241550926492e-15,0,1,"trueskill.Rating(mu=7.423, sigma=2.908)","trueskill.Rating(mu=18.825, sigma=3.564)"
6007,7.0,3.0,Penny Tration,Alyssa Edwards,5:2.0,,SAFE,"[['Alyssa Edwards', 'Penny Tration'], '5:2.0']",0,0,1,5.0,2.0,0.00830292867885073,3.797383434966538e-14,0,1,"trueskill.Rating(mu=7.246, sigma=2.854)","trueskill.Rating(mu=19.497, sigma=3.583)"
6008,7.0,3.0,Penny Tration,Jade Jolie,5:2.0,,SAFE,"[['Jade Jolie', 'Penny Tration'], '5:2.0']",0,0,1,5.0,2.0,0.14294921259928925,7.156468584422881e-09,0,1,"trueskill.Rating(mu=7.105, sigma=2.810)","trueskill.Rating(mu=11.996, sigma=2.985)"
6056,6.0,3.0,Serena ChaCha,Jade Jolie,5:2.0,ELIM,SAFE,"[['Jade Jolie', 'Serena ChaCha'], '5:2.0']",0,0,1,5.0,2.0,0.3301636991651465,1.6645953573512296e-07,0,1,"trueskill.Rating(mu=10.556, sigma=2.968)","trueskill.Rating(mu=12.579, sigma=2.856)"
6057,6.0,3.0,Serena ChaCha,Alyssa Edwards,5:2.0,ELIM,SAFE,"[['Alyssa Edwards', 'Serena ChaCha'], '5:2.0']",0,0,1,5.0,2.0,0.022867257975855607,7.823529407277027e-13,0,1,"trueskill.Rating(mu=9.712, sigma=2.814)","trueskill.Rating(mu=19.720, sigma=3.493)"
6058,6.0,3.0,Serena ChaCha,Coco Montrese,5:2.0,ELIM,SAFE,"[['Coco Montrese', 'Serena ChaCha'], '5:2.0']",0,0,1,5.0,2.0,0.02604386117307402,8.662695017212836e-14,0,1,"trueskill.Rating(mu=9.494, sigma=2.754)","trueskill.Rating(mu=19.091, sigma=3.463)"
6085,5.0,3.0,Monica Beverly Hillz,Jinkx Monsoon,5:2.0,BTM2,SAFE,"[['Jinkx Monsoon', 'Monica Beverly Hillz'], '5:2.0']",0,0,1,5.0,2.0,0.34494968190005215,1.4158087247153177e-23,0,1,"trueskill.Rating(mu=18.575, sigma=3.480)","trueskill.Rating(mu=20.802, sigma=3.581)"
6086,5.0,3.0,Monica Beverly Hillz,Alaska,5:2.0,BTM2,SAFE,"[['Alaska', 'Monica Beverly Hillz'], '5:2.0']",0,0,1,5.0,2.0,0.011185437033343402,4.5340645982507637e-20,0,1,"trueskill.Rating(mu=17.509, sigma=3.265)","trueskill.Rating(mu=28.699, sigma=2.925)"
6087,5.0,3.0,Monica Beverly Hillz,Detox,5:2.0,BTM2,SAFE,"[['Detox', 'Monica Beverly Hillz'], '5:2.0']",0,0,1,5.0,2.0,0.3564719549006562,1.80323723895924e-14,0,1,"trueskill.Rating(mu=17.280, sigma=3.185)","trueskill.Rating(mu=19.204, sigma=3.426)"
6089,5.0,3.0,Monica Beverly Hillz,Coco Montrese,5:2.0,BTM2,SAFE,"[['Coco Montrese', 'Monica Beverly Hillz'], '5:2.0']",0,0,1,5.0,2.0,0.2679666668750384,1.7777724474430313e-11,0,1,"trueskill.Rating(mu=16.336, sigma=3.009)","trueskill.Rating(mu=19.447, sigma=3.343)"
6090,5.0,3.0,Monica Beverly Hillz,Alyssa Edwards,5:2.0,BTM2,SAFE,"[['Alyssa Edwards', 'Monica Beverly Hillz'], '5:2.0']",0,0,1,5.0,2.0,0.18370545577312525,1.7445548166904783e-10,0,1,"trueskill.Rating(mu=15.595, sigma=2.868)","trueskill.Rating(mu=20.056, sigma=3.377)"
6092,5.0,3.0,Monica Beverly Hillz,Jade Jolie,5:2.0,BTM2,SAFE,"[['Jade Jolie', 'Monica Beverly Hillz'], '5:2.0']",0,0,1,5.0,2.0,0.6500436678838966,2.872429594791421e-05,1,0,"trueskill.Rating(mu=15.029, sigma=2.755)","trueskill.Rating(mu=13.361, sigma=2.720)"
6094,6.0,3.0,Serena ChaCha,Jinkx Monsoon,5:2.0,ELIM,SAFE,"[['Jinkx Monsoon', 'Serena ChaCha'], '5:2.0']",0,0,1,5.0,2.0,0.004157449945234431,5.483353495451394e-25,0,1,"trueskill.Rating(mu=9.269, sigma=2.695)","trueskill.Rating(mu=21.931, sigma=3.346)"
6095,6.0,3.0,Serena ChaCha,Alaska,5:2.0,ELIM,SAFE,"[['Alaska', 'Serena ChaCha'], '5:2.0']",0,0,1,5.0,2.0,3.240082282078911e-06,9.118544725246538e-22,0,1,"trueskill.Rating(mu=9.158, sigma=2.661)","trueskill.Rating(mu=28.882, sigma=2.868)"
6096,6.0,3.0,Serena ChaCha,Roxxxy Andrews,5:2.0,ELIM,SAFE,"[['Roxxxy Andrews', 'Serena ChaCha'], '5:2.0']",0,0,1,5.0,2.0,5.030089357042147e-07,5.036312823106832e-21,0,1,"trueskill.Rating(mu=9.147, sigma=2.656)","trueskill.Rating(mu=30.534, sigma=2.872)"
6097,6.0,3.0,Serena ChaCha,Detox,5:2.0,ELIM,SAFE,"[['Detox', 'Serena ChaCha'], '5:2.0']",0,0,1,5.0,2.0,0.008216830168817755,1.2912372868309972e-16,0,1,"trueskill.Rating(mu=9.142, sigma=2.655)","trueskill.Rating(mu=20.298, sigma=3.207)"
6098,5.0,3.0,Monica Beverly Hillz,Roxxxy Andrews,5:2.0,BTM2,SAFE,"[['Monica Beverly Hillz', 'Roxxxy Andrews'], '5:2.0']",0,0,1,5.0,2.0,6.224549360214569e-05,2.918583001226457e-19,0,1,"trueskill.Rating(mu=13.922, sigma=2.604)","trueskill.Rating(mu=30.541, sigma=2.869)"
8020,7.0,5.0,Penny Tration,Monica Beverly Hillz,5:2.0,,BTM2,"[['Monica Beverly Hillz', 'Penny Tration'], '5:2.0']",0,0,1,5.0,2.0,0.04054857867397954,0.015597688190495625,0,1,"trueskill.Rating(mu=6.587, sigma=2.703)","trueskill.Rating(mu=13.891, sigma=2.592)"
8021,6.0,5.0,Serena ChaCha,Monica Beverly Hillz,5:2.0,ELIM,BTM2,"[['Monica Beverly Hillz', 'Serena ChaCha'], '5:2.0']",0,0,1,5.0,2.0,0.10027535428609623,0.08301360294199474,0,1,"trueskill.Rating(mu=8.993, sigma=2.612)","trueskill.Rating(mu=14.190, sigma=2.523)"
9246,7.0,6.0,Penny Tration,Serena ChaCha,5:2.0,,ELIM,"[['Penny Tration', 'Serena ChaCha'], '5:2.0']",0,0,1,5.0,2.0,0.28612744578329147,0.21404059395408895,0,1,"trueskill.Rating(mu=6.262, sigma=2.624)","trueskill.Rating(mu=8.561, sigma=2.523)"
869,3.0,1.0,Lineysha Sparx,Detox,5:3.0,SAFE,WIN,"[['Detox', 'Lineysha Sparx'], '5:3.0']",0,0,1,5.0,3.0,0.9999420021593993,2.710653885408293e-05,1,0,"trueskill.Rating(mu=39.087, sigma=2.963)","trueskill.Rating(mu=20.515, sigma=3.130)"
870,3.0,1.0,Jade Jolie,Detox,5:3.0,SAFE,WIN,"[['Detox', 'Jade Jolie'], '5:3.0']",0,0,1,5.0,3.0,0.00971127072717856,3.2730239628501675e-06,0,1,"trueskill.Rating(mu=14.439, sigma=2.574)","trueskill.Rating(mu=24.482, sigma=2.855)"
873,3.0,1.0,Ivy Winters,Detox,5:3.0,SAFE,WIN,"[['Detox', 'Ivy Winters'], '5:3.0']",0,0,1,5.0,3.0,0.9928995982489056,0.20491268779229407,1,0,"trueskill.Rating(mu=35.772, sigma=2.922)","trueskill.Rating(mu=24.695, sigma=2.790)"
874,3.0,1.0,Alyssa Edwards,Detox,5:3.0,SAFE,WIN,"[['Alyssa Edwards', 'Detox'], '5:3.0']",0,0,1,5.0,3.0,0.09186597674562853,0.037824811112039294,0,1,"trueskill.Rating(mu=20.840, sigma=3.191)","trueskill.Rating(mu=26.953, sigma=2.601)"
879,2.0,1.0,Roxxxy Andrews,Detox,5:3.0,HIGH,WIN,"[['Detox', 'Roxxxy Andrews'], '5:3.0']",0,0,1,5.0,3.0,0.7778304395245933,0.9739155784145157,1,0,"trueskill.Rating(mu=30.578, sigma=2.853)","trueskill.Rating(mu=27.321, sigma=2.526)"
880,4.0,1.0,Alaska,Detox,5:3.0,LOW,WIN,"[['Alaska', 'Detox'], '5:3.0']",0,0,1,5.0,3.0,0.5466295134843704,0.9885149192365882,1,0,"trueskill.Rating(mu=28.895, sigma=2.862)","trueskill.Rating(mu=28.406, sigma=2.402)"
882,2.0,1.0,Jinkx Monsoon,Detox,5:3.0,HIGH,WIN,"[['Detox', 'Jinkx Monsoon'], '5:3.0']",0,0,1,5.0,3.0,0.056986392814431464,0.9998666977248502,0,1,"trueskill.Rating(mu=22.100, sigma=3.278)","trueskill.Rating(mu=29.162, sigma=2.306)"
883,5.0,1.0,Coco Montrese,Detox,5:3.0,BTM2,WIN,"[['Coco Montrese', 'Detox'], '5:3.0']",0,0,1,5.0,3.0,0.018088759296539633,0.08413203297346471,0,1,"trueskill.Rating(mu=20.361, sigma=3.147)","trueskill.Rating(mu=29.410, sigma=2.258)"
902,3.0,1.0,Honey Mahogany,Detox,5:3.0,SAFE,WIN,"[['Detox', 'Honey Mahogany'], '5:3.0']",0,0,1,5.0,3.0,0.49631457314484795,4.056341341737452e-08,0,1,"trueskill.Rating(mu=29.539, sigma=2.540)","trueskill.Rating(mu=29.573, sigma=2.222)"
922,4.0,1.0,Vivienne Pinay,Detox,5:3.0,LOW,WIN,"[['Detox', 'Vivienne Pinay'], '5:3.0']",0,0,1,5.0,3.0,0.4463875978661695,2.256782075401789e-09,0,1,"trueskill.Rating(mu=29.697, sigma=2.590)","trueskill.Rating(mu=30.203, sigma=2.144)"
968,7.0,1.0,Penny Tration,Detox,5:3.0,,WIN,"[['Detox', 'Penny Tration'], '5:3.0']",0,0,1,5.0,3.0,2.430193924604871e-12,8.992441685560918e-18,0,1,"trueskill.Rating(mu=5.605, sigma=2.513)","trueskill.Rating(mu=30.760, sigma=2.075)"
971,7.0,1.0,Serena ChaCha,Detox,5:3.0,,WIN,"[['Detox', 'Serena ChaCha'], '5:3.0']",0,0,1,5.0,3.0,7.122210256837844e-10,1.2912372868309972e-16,0,1,"trueskill.Rating(mu=9.169, sigma=2.425)","trueskill.Rating(mu=30.760, sigma=2.077)"
972,6.0,1.0,Monica Beverly Hillz,Detox,5:3.0,ELIM,WIN,"[['Detox', 'Monica Beverly Hillz'], '5:3.0']",0,0,1,5.0,3.0,3.21616695904138e-06,1.80323723895924e-14,0,1,"trueskill.Rating(mu=14.594, sigma=2.444)","trueskill.Rating(mu=30.762, sigma=2.077)"
1741,4.0,2.0,Alaska,Roxxxy Andrews,5:3.0,LOW,HIGH,"[['Alaska', 'Roxxxy Andrews'], '5:3.0']",0,0,1,5.0,3.0,0.3732462112261812,0.6352069267173939,0,1,"trueskill.Rating(mu=27.822, sigma=2.696)","trueskill.Rating(mu=29.194, sigma=2.673)"
1746,5.0,2.0,Coco Montrese,Jinkx Monsoon,5:3.0,BTM2,HIGH,"[['Coco Montrese', 'Jinkx Monsoon'], '5:3.0']",0,0,1,5.0,3.0,0.37503991596564196,3.832998043011813e-07,0,1,"trueskill.Rating(mu=20.043, sigma=3.047)","trueskill.Rating(mu=21.600, sigma=3.136)"
1747,5.0,2.0,Coco Montrese,Roxxxy Andrews,5:3.0,BTM2,HIGH,"[['Coco Montrese', 'Roxxxy Andrews'], '5:3.0']",0,0,1,5.0,3.0,0.005919496420493737,0.00046854563686283705,0,1,"trueskill.Rating(mu=19.121, sigma=2.883)","trueskill.Rating(mu=29.950, sigma=2.552)"
1749,3.0,2.0,Alyssa Edwards,Jinkx Monsoon,5:3.0,SAFE,HIGH,"[['Alyssa Edwards', 'Jinkx Monsoon'], '5:3.0']",0,0,1,5.0,3.0,0.3147742569803396,6.744076821531226e-08,0,1,"trueskill.Rating(mu=20.287, sigma=3.049)","trueskill.Rating(mu=22.577, sigma=2.957)"
1751,4.0,2.0,Alaska,Jinkx Monsoon,5:3.0,LOW,HIGH,"[['Alaska', 'Jinkx Monsoon'], '5:3.0']",0,0,1,5.0,3.0,0.8057271740546776,0.07399574179383213,1,0,"trueskill.Rating(mu=27.052, sigma=2.572)","trueskill.Rating(mu=23.381, sigma=2.810)"
1776,3.0,2.0,Ivy Winters,Jinkx Monsoon,5:3.0,SAFE,HIGH,"[['Ivy Winters', 'Jinkx Monsoon'], '5:3.0']",0,0,1,5.0,3.0,0.97822079781244,5.268155428243357e-06,1,0,"trueskill.Rating(mu=33.295, sigma=2.704)","trueskill.Rating(mu=24.773, sigma=2.636)"
1805,3.0,2.0,Ivy Winters,Roxxxy Andrews,5:3.0,SAFE,HIGH,"[['Ivy Winters', 'Roxxxy Andrews'], '5:3.0']",0,0,1,5.0,3.0,0.6307020582040744,0.0029824789918078236,1,0,"trueskill.Rating(mu=31.424, sigma=2.531)","trueskill.Rating(mu=30.094, sigma=2.512)"
1808,3.0,2.0,Jade Jolie,Jinkx Monsoon,5:3.0,SAFE,HIGH,"[['Jade Jolie', 'Jinkx Monsoon'], '5:3.0']",0,0,1,5.0,3.0,0.0009499239955206481,8.524136188622527e-15,0,1,"trueskill.Rating(mu=14.266, sigma=2.528)","trueskill.Rating(mu=26.552, sigma=2.476)"
1809,3.0,2.0,Jade Jolie,Roxxxy Andrews,5:3.0,SAFE,HIGH,"[['Jade Jolie', 'Roxxxy Andrews'], '5:3.0']",0,0,1,5.0,3.0,6.696200034281312e-06,1.7785018703228051e-10,0,1,"trueskill.Rating(mu=14.171, sigma=2.498)","trueskill.Rating(mu=31.009, sigma=2.394)"
1813,3.0,2.0,Lineysha Sparx,Jinkx Monsoon,5:3.0,SAFE,HIGH,"[['Jinkx Monsoon', 'Lineysha Sparx'], '5:3.0']",0,0,1,5.0,3.0,0.9849079085745055,2.1395042944518895e-13,1,0,"trueskill.Rating(mu=35.530, sigma=2.731)","trueskill.Rating(mu=26.643, sigma=2.448)"
1814,3.0,2.0,Lineysha Sparx,Roxxxy Andrews,5:3.0,SAFE,HIGH,"[['Lineysha Sparx', 'Roxxxy Andrews'], '5:3.0']",0,0,1,5.0,3.0,0.7405786078690708,2.9716553834851673e-09,1,0,"trueskill.Rating(mu=33.548, sigma=2.548)","trueskill.Rating(mu=31.030, sigma=2.386)"
1816,3.0,2.0,Honey Mahogany,Jinkx Monsoon,5:3.0,SAFE,HIGH,"[['Honey Mahogany', 'Jinkx Monsoon'], '5:3.0']",0,0,1,5.0,3.0,0.5508610067960883,2.330672767896491e-17,1,0,"trueskill.Rating(mu=28.716, sigma=2.422)","trueskill.Rating(mu=28.237, sigma=2.318)"
1817,3.0,2.0,Honey Mahogany,Roxxxy Andrews,5:3.0,SAFE,HIGH,"[['Honey Mahogany', 'Roxxxy Andrews'], '5:3.0']",0,0,1,5.0,3.0,0.1329716704708931,7.995014148558985e-13,0,1,"trueskill.Rating(mu=27.923, sigma=2.316)","trueskill.Rating(mu=31.965, sigma=2.280)"
1818,4.0,2.0,Vivienne Pinay,Jinkx Monsoon,5:3.0,LOW,HIGH,"[['Jinkx Monsoon', 'Vivienne Pinay'], '5:3.0']",0,0,1,5.0,3.0,0.49166569675644334,5.701630548143578e-19,0,1,"trueskill.Rating(mu=28.886, sigma=2.467)","trueskill.Rating(mu=28.963, sigma=2.226)"
